city_name,description,cause_of_incident,from_road,to_road,affected_roads,incident_category_desc,magnitude_of_delay_desc,length_in_meters,delay_in_seconds,incident_date,latitude,longitude,road_num,Distance
Braga,stationary traffic,,N101 (N103),Braga-Circular (São Vítor) (N103),N103,Jam,Major,670,714,2019-12-11 16:46:40.547000,41.5489814,-8.415438900000002,1,0.49291392590606975
Braga,slow traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Minor,506,171,2019-12-11 17:06:40.547000,41.5517803,-8.4215449,1,0.3840945751356739
Braga,stationary traffic,,Avenida da Liberdade (N101) / Avenida João XXI (N309),Avenida 31 de Janeiro / Rua Beato Miguel de Carvalho,,Jam,Major,345,204,2019-12-11 17:06:40.547000,41.5480614,-8.4191886,1,0.17808158056487097
Braga,stationary traffic,,Avenida 31 de Janeiro,Avenida da Liberdade (N101),,Jam,Major,462,293,2019-12-11 17:06:40.547000,41.551557700000004,-8.4172319,1,0.4931756964663272
Braga,stationary traffic,,N101 (N103),Rua De Bernardo Sequeira (N103),N103,Jam,Major,316,153,2019-12-11 17:06:40.547000,41.5483296,-8.416664599999999,1,0.38558183097522153
Braga,stationary traffic,,N309 (N103),Braga-Circular (São Vítor) (N103),N103,Jam,Major,1610,770,2019-12-11 17:26:40.732000,41.544841399999996,-8.4241373,1,0.454307775457951
Braga,queuing traffic,,N14,Avenida da Liberdade (N101) / Avenida João XXI,N309,Jam,Moderate,199,82,2019-12-11 17:26:40.732000,41.545286600000004,-8.4221632,1,0.34609434314533943
Braga,queuing traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Moderate,466,269,2019-12-11 17:26:40.732000,41.5517763,-8.4220317,1,0.38793462531996176
Braga,queuing traffic,,Avenida da Liberdade (N101) / Avenida João XXI (N309),Avenida 31 de Janeiro / Rua Beato Miguel de Carvalho,,Jam,Moderate,345,174,2019-12-11 17:26:40.732000,41.5480614,-8.4191886,1,0.17808158056487097
Braga,stationary traffic,,Avenida 31 de Janeiro,Avenida da Liberdade (N101),,Jam,Major,462,336,2019-12-11 17:26:40.732000,41.551557700000004,-8.4172319,1,0.4931756964663272
Braga,queuing traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Moderate,394,291,2019-12-11 17:46:40.717000,41.5517615,-8.4228874,1,0.40373358569691326
Braga,stationary traffic,,Avenida da Liberdade (N101) / Avenida João XXI (N309),Avenida 31 de Janeiro / Rua Beato Miguel de Carvalho,,Jam,Major,221,210,2019-12-11 17:46:40.717000,41.5489573,-8.418294099999999,1,0.25949650268348295
Braga,queuing traffic,,Avenida 31 de Janeiro,Avenida da Liberdade (N101),,Jam,Moderate,462,231,2019-12-11 17:46:40.717000,41.551557700000004,-8.4172319,1,0.4931756964663272
Braga,stationary traffic,,Avenida Central (N101),N103 (N101),N101,Jam,Major,599,284,2019-12-11 18:06:40.779000,41.5507383,-8.4227291,1,0.2929760830998563
Braga,queuing traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Moderate,410,242,2019-12-11 18:06:40.779000,41.551770899999994,-8.4226969,1,0.39982145714632794
Braga,stationary traffic,,Rua do Raio,N101,,Jam,Major,115,72,2019-12-11 18:06:40.779000,41.5489036,-8.4217126,1,0.07241742437584785
Braga,stationary traffic,,Avenida 31 de Janeiro,Avenida da Liberdade (N101),,Jam,Major,462,269,2019-12-11 18:06:40.779000,41.551557700000004,-8.4172319,1,0.4931756964663272
Braga,queuing traffic,,Avenida da Imaculada Conceição (N14),Avenida da Liberdade (N101),,Jam,Moderate,380,165,2019-12-11 18:26:40.847000,41.545674299999995,-8.423789900000001,1,0.3609326167017277
Braga,stationary traffic,,Avenida Central (N101),N103 (N101),N101,Jam,Major,719,397,2019-12-11 18:26:40.847000,41.5516891,-8.422922199999999,1,0.39711240789190305
Braga,slow traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Minor,506,234,2019-12-11 18:26:40.847000,41.5517803,-8.4215449,1,0.3840945751356739
Braga,stationary traffic,,Avenida Central (N101),N103 (N101),N101,Jam,Major,736,350,2019-12-11 18:46:40.840000,41.5516891,-8.4229088,1,0.39673426725808864
Braga,queuing traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Moderate,466,289,2019-12-11 18:46:40.840000,41.5517763,-8.4220317,1,0.38793462531996176
Braga,stationary traffic,,Avenida da Imaculada Conceição (N14) / Rua Sá de Miranda,Avenida da Liberdade (N101),,Jam,Major,157,146,2019-12-11 18:46:40.840000,41.546623700000005,-8.422025,1,0.19925028782076407
Braga,queuing traffic,,Avenida Central (N101),N103 (N101),N101,Jam,Moderate,752,313,2019-12-11 19:06:40.657000,41.5516985,-8.422709,1,0.3924268520664667
Braga,slow traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Minor,473,194,2019-12-11 19:06:40.657000,41.5517763,-8.4219459,1,0.38687516469257277
Braga,slow traffic,,Avenida Central (N101),Rua Conselheiro Lobato (N101),N101,Jam,Minor,965,216,2019-12-11 19:26:40.719000,41.5516985,-8.422703599999998,1,0.39229263265506753
Braga,stationary traffic,,Rua do Raio,N101,,Jam,Major,119,54,2019-12-11 19:26:40.719000,41.5489828,-8.4215731,1,0.0760065098336701
Braga,queuing traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Moderate,506,268,2019-12-11 19:26:40.719000,41.5517803,-8.4215449,1,0.3840945751356739
Braga,slow traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Minor,274,115,2019-12-11 19:46:41.860000,41.5523234,-8.4235727,1,0.48260606921644994
Braga,stationary traffic,,Avenida da Liberdade (N101) / Avenida João XXI (N309),Avenida João XXI (N103) / Rua Martins Sarmento,,Jam,Major,459,258,2019-12-12 08:26:40.560000,41.5496439,-8.417535,1,0.34550356035752594
Braga,slow traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Minor,410,207,2019-12-12 08:46:40.929000,41.551770899999994,-8.4226969,1,0.39982145714632794
Braga,stationary traffic,,Rua do Raio,N101,,Jam,Major,115,51,2019-12-12 09:06:40.623000,41.5489036,-8.4217126,1,0.07241742437584785
